date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:28:35	235737/235737	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Aug%202025%2009:28:34%20GMT	https://carnagemusic.com/	./carnage_website_backup_full/carnagemusic.com/index.html	(from )
11:28:35	60806/60806	---M-Z	200	added ('OK')	text/css	etag:%22ed86-678b930e-297fcae5d62fa259;gz%22	https://carnagemusic.com/wp-content/uploads/elementor/css/custom-frontend.min.css?ver=1737200398	./carnage_website_backup_full/carnagemusic.com/wp-content/uploads/elementor/css/custom-frontend.min45ee.css	(from https://carnagemusic.com/)
11:28:36	35917/35917	---M-Z	200	added ('OK')	text/css	etag:%228c4d-6708bb8f-25e10df138bdb844;gz%22	https://carnagemusic.com/wp-content/plugins/elementor-for-sonaar/assets/css/sonaar-addons-elementor.css?ver=2.4.0	./carnage_website_backup_full/carnagemusic.com/wp-content/plugins/elementor-for-sonaar/assets/css/sonaar-addons-elementor8d5a.css	(from https://carnagemusic.com/)
11:28:38	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2008%20Aug%202025%2009:28:37%20GMT	http://cdn.jsdelivr.net/	./carnage_website_backup_full/cdn.jsdelivr.net/index.html	(from https://carnagemusic.com/)
11:28:38	73362/73362	---M-Z	200	added ('OK')	text/css	etag:%2211e92-6710158b-9df8156843f5e23b;gz%22	https://carnagemusic.com/wp-content/uploads/maxmegamenu/style.css?ver=102a6c	./carnage_website_backup_full/carnagemusic.com/wp-content/uploads/maxmegamenu/style01c3.css	(from https://carnagemusic.com/)
11:28:38	59016/59016	---M-Z	200	added ('OK')	text/css	etag:%22e688-6708bb8e-69c080479ad30269;gz%22	https://carnagemusic.com/wp-includes/css/dashicons.min.css?ver=6.6.3	./carnage_website_backup_full/carnagemusic.com/wp-includes/css/dashicons.min3883.css	(from https://carnagemusic.com/)
11:28:38	1565/1565	---M-Z	200	added ('OK')	application/rss+xml	etag:%223ce3b825f6f18655242c2cfa4a635524%22	https://carnagemusic.com/feed/	./carnage_website_backup_full/carnagemusic.com/feed/index.html	(from https://carnagemusic.com/)
11:28:38	739/739	---M-Z	200	added ('OK')	application/rss+xml	etag:%223ce3b825f6f18655242c2cfa4a635524%22	https://carnagemusic.com/comments/feed/	./carnage_website_backup_full/carnagemusic.com/comments/feed/index.html	(from https://carnagemusic.com/)
11:28:39	311416/311416	---M-Z	200	added ('OK')	text/css	etag:%224c078-6708bb8f-30e7c2fc01ffbf7e;gz%22	https://carnagemusic.com/wp-content/themes/sonaar/dist/css/main.min.css?ver=4.27	./carnage_website_backup_full/carnagemusic.com/wp-content/themes/sonaar/dist/css/main.minaa80.css	(from https://carnagemusic.com/)
11:28:40	744/744	---M-Z	200	added ('OK')	text/css	etag:%222e8-671e7b0b-a206ee4c44123167;gz%22	https://carnagemusic.com/wp-content/themes/sonaar-child/style.css?ver=4.27	./carnage_website_backup_full/carnagemusic.com/wp-content/themes/sonaar-child/styleaa80.css	(from https://carnagemusic.com/)
11:28:41	80803/80803	---M-Z	200	added ('OK')	text/css	etag:%2213ba3-6708bb8f-39275af10456e39f;gz%22	https://carnagemusic.com/wp-content/themes/sonaar/includes/sonaar-music/fontawesome/css/fontawesome.min.css?ver=5.12.0	./carnage_website_backup_full/carnagemusic.com/wp-content/themes/sonaar/includes/sonaar-music/fontawesome/css/fontawesome.minb683.css	(from https://carnagemusic.com/)
11:28:42	19312/19312	---M-Z	200	added ('OK')	text/css	etag:%224b70-6708bb8f-d8a1e3c5de911305;gz%22	https://carnagemusic.com/wp-content/themes/sonaar/includes/sonaar-music/fontawesome/css/brands.min.css?ver=5.12.0	./carnage_website_backup_full/carnagemusic.com/wp-content/themes/sonaar/includes/sonaar-music/fontawesome/css/brands.minb683.css	(from https://carnagemusic.com/)
11:28:43	577/577	---M-Z	200	added ('OK')	text/css	etag:%22241-6708bb8f-4a177a9cbf09354f;gz%22	https://carnagemusic.com/wp-content/themes/sonaar/includes/sonaar-music/fontawesome/css/solid.min.css?ver=5.12.0	./carnage_website_backup_full/carnagemusic.com/wp-content/themes/sonaar/includes/sonaar-music/fontawesome/css/solid.minb683.css	(from https://carnagemusic.com/)
11:28:44	585/585	---M-Z	200	added ('OK')	text/css	etag:%22249-6708bb8f-a3ce020f358113d2;gz%22	https://carnagemusic.com/wp-content/themes/sonaar/includes/sonaar-music/fontawesome/css/regular.min.css?ver=5.12.0	./carnage_website_backup_full/carnagemusic.com/wp-content/themes/sonaar/includes/sonaar-music/fontawesome/css/regular.minb683.css	(from https://carnagemusic.com/)
11:28:46	32329/32329	---M-Z	200	added ('OK')	text/css	etag:%227e49-671e752e-fe7ef604a72e2d24;gz%22	https://carnagemusic.com/wp-content/plugins/essential-grid/public/assets/css/settings.css?ver=3.1.5	./carnage_website_backup_full/carnagemusic.com/wp-content/plugins/essential-grid/public/assets/css/settingsc6bd.css	(from https://carnagemusic.com/)
11:28:47	13191/13191	---M-Z	200	added ('OK')	text/css	etag:%223387-671e752e-f87fc87164bc5cd8;gz%22	https://carnagemusic.com/wp-content/plugins/essential-grid/public/assets/font/fontello/css/fontello.css?ver=3.1.5	./carnage_website_backup_full/carnagemusic.com/wp-content/plugins/essential-grid/public/assets/font/fontello/css/fontelloc6bd.css	(from https://carnagemusic.com/)
11:28:47	32671/32671	---MCZ	200	added ('OK')	text/css	date:Fri,%2008%20Aug%202025%2009:28:46%20GMT	https://carnagemusic.com/?load=custom-style.css&ver=6.6.3	./carnage_website_backup_full/carnagemusic.com/index7faa.html	(from https://carnagemusic.com/)
11:28:48	19862/19862	---M-Z	200	added ('OK')	text/css	etag:%224d96-671a795c-4abfe4c19ec91f1d;gz%22	https://carnagemusic.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.31.0	./carnage_website_backup_full/carnagemusic.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min0fd8.css	(from https://carnagemusic.com/)
11:28:49	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-671a795c-7ce8345f2ca12625;gz%22	https://carnagemusic.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	./carnage_website_backup_full/carnagemusic.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://carnagemusic.com/)
11:28:50	10260/10260	---M-Z	200	added ('OK')	text/css	etag:%222814-671a795c-8782f7d4714194df;gz%22	https://carnagemusic.com/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.24.7	./carnage_website_backup_full/carnagemusic.com/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min52dd.css	(from https://carnagemusic.com/)
11:28:51	2626/2626	---M-Z	200	added ('OK')	text/css	etag:%22a42-678b930e-d2bd52d16c98c69;gz%22	https://carnagemusic.com/wp-content/uploads/elementor/css/post-3734.css?ver=1737200398	./carnage_website_backup_full/carnagemusic.com/wp-content/uploads/elementor/css/post-373445ee.css	(from https://carnagemusic.com/)
11:28:52	9272/9272	---M-Z	200	added ('OK')	text/css	etag:%222438-678b930e-4c1becaf0c3390f5;gz%22	https://carnagemusic.com/wp-content/uploads/elementor/css/custom-pro-frontend.min.css?ver=1737200398	./carnage_website_backup_full/carnagemusic.com/wp-content/uploads/elementor/css/custom-pro-frontend.min45ee.css	(from https://carnagemusic.com/)
11:28:53	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%22e7d0-671a795c-91281c3babf63020;gz%22	https://carnagemusic.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.24.7	./carnage_website_backup_full/carnagemusic.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min52dd.css	(from https://carnagemusic.com/)
11:28:54	26702/26702	---M-Z	200	added ('OK')	text/css	etag:%22684e-671a795c-875b435458ec1d47;gz%22	https://carnagemusic.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.24.7	./carnage_website_backup_full/carnagemusic.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min52dd.css	(from https://carnagemusic.com/)
11:28:55	1364/1364	---M-Z	200	added ('OK')	text/css	etag:%22554-671a795c-6c5071d5fc1732cf;gz%22	https://carnagemusic.com/wp-content/plugins/elementor/assets/css/widget-spacer.min.css?ver=3.24.7	./carnage_website_backup_full/carnagemusic.com/wp-content/plugins/elementor/assets/css/widget-spacer.min52dd.css	(from https://carnagemusic.com/)
11:28:56	254/254	---M--	200	added ('OK')	text/css	etag:%22fe-671a795c-74ba918c2a1091b7;;;%22	https://carnagemusic.com/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.24.7	./carnage_website_backup_full/carnagemusic.com/wp-content/plugins/elementor/assets/css/widget-image.min52dd.css	(from https://carnagemusic.com/)
